Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,Other,Receive Year,Delivery Year
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,50,2018,2018
I&K,SNI,KOREA,2018-06-04,2018-07-04,30 days 00:00:00.000000000,REPLACEMENT,no,50,2018,2018
I&K,SNI,KOREA,2018-06-04,2018-07-04,30 days 00:00:00.000000000,REPLACEMENT,no,50,2018,2018
I&K,SNI,KOREA,2018-07-05,2018-08-06,32 days 00:00:00.000000000,REPLACEMENT,no,50,2018,2018
I&K,SNI,KOREA,2018-07-05,2018-08-06,32 days 00:00:00.000000000,REPLACEMENT,no,50,2018,2018
I&K,SNI,KOREA,2018-07-05,2018-08-06,32 days 00:00:00.000000000,ACCESSORIES,no,50,2018,2018
I&K,SNI,KOREA,2018-09-13,2018-09-30,17 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-09-27,2018-10-27,30 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,100,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,100,2018,2018
I&K,SNI,KOREA,2018-06-04,2018-07-04,30 days 00:00:00.000000000,REPLACEMENT,no,100,2018,2018
I&K,SNI,KOREA,2018-07-05,2018-08-06,32 days 00:00:00.000000000,REPLACEMENT,no,100,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,150,2018,2018
I&K,SNI,KOREA,2018-06-04,2018-07-04,30 days 00:00:00.000000000,KIT,no,150,2018,2018
I&K,SNI,KOREA,2018-07-05,2018-08-06,32 days 00:00:00.000000000,KIT,no,150,2018,2018
I&K,SNI,KOREA,2018-09-13,2018-09-30,17 days 00:00:00.000000000,KIT,no,200,2018,2018
I&K,SNI,KOREA,2018-09-27,2018-10-27,30 days 00:00:00.000000000,KIT,no,200,2018,2018
I&K,SNI,KOREA,2018-09-13,2018-09-30,17 days 00:00:00.000000000,KIT,no,250,2018,2018
I&K,SNI,KOREA,2018-09-27,2018-10-27,30 days 00:00:00.000000000,KIT,no,250,2018,2018
I&K,SNI,KOREA,2018-06-04,2018-07-04,30 days 00:00:00.000000000,KIT,no,300,2018,2018
I&K,SNI,KOREA,2018-07-05,2018-08-06,32 days 00:00:00.000000000,KIT,no,300,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,ACCESSORIES,no,2,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,ACCESSORIES,no,2,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT ENDURO,no,5,2017,2017
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,ACCESSORIES,no,5,2018,2018
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT,no,10,2017,2017
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT STRIKE EAGLE,no,10,2017,2017
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT GALAXY SLIDE,no,10,2017,2017
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT GALAXY SLIDE,no,10,2017,2017
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT GALAXY SLIDE,no,15,2017,2017
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT GALAXY SLIDE,no,20,2017,2017
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,20,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,20,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,20,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,20,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,20,2018,2018
I&K,SNI,KOREA,2018-03-17,2018-03-18,1 days 00:00:00.000000000,REPLACEMENT,no,20,2018,2018
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT GALAXY SLIDE,no,30,2017,2017
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT GALAXY SLIDE,no,30,2017,2017
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-16,2018-03-17,1 days 00:00:00.000000000,REPLACEMENT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT VENOM OPEN FACE,no,100,2017,2017
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT VENOM OPEN FACE,no,100,2017,2017
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,100,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,100,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,100,2018,2018
I&K,SNI,KOREA,2018-03-20,2018-04-06,17 days 00:00:00.000000000,KIT,no,150,2018,2018
I&K,SNI,KOREA,2017-07-26,2017-07-27,1 days 00:00:00.000000000,KYT VENOM OPEN FACE,no,200,2017,2017
I&K,SNI,KOREA,2016-03-16,2016-03-26,10 days 00:00:00.000000000,KIT,no,1,2016,2016
I&K,ECE,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,STRIKE EAGLE,no,1,2016,2016
I&K,ECE,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,STRIKE EAGLE,no,1,2016,2016
I&K,ECE,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,STRIKE EAGLE,no,1,2016,2016
I&K,ECE,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,STRIKE EAGLE,no,1,2016,2016
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,SR SPORT,no,1,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,SR SPORT,no,1,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,APEX,no,1,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,MR JUMP,no,1,2017,2017
I&K,SNI,KOREA,2017-02-21,2017-02-22,1 days 00:00:00.000000000,KYT,no,2,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT,no,2,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,HELLO,no,2,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT STRIKE EAGLE,no,3,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT STRIKE EAGLE,no,3,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT STRIKE EAGLE,no,3,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT STRIKE EAGLE,no,3,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,APEX,no,3,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,APEX,no,3,2017,2017
I&K,SNI,KOREA,2016-03-16,2016-03-26,10 days 00:00:00.000000000,KIT,no,5,2016,2016
I&K,SNI,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,5,2016,2016
I&K,ECE,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,5,2016,2016
I&K,ECE,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,5,2016,2016
I&K,ECE,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,5,2016,2016
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,SUOMY,no,5,2017,2017
I&K,SNI,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,10,2016,2016
