"Customer","POS NO","PO NO","Standard","Destination","POS Receive Date","POS Delivery Date","Model/Type","Description","XXS","XS (48)","XS/S","S(50)","M(52)","L(54)","XL(56)","XXL","3XL","4XL","S/M","L/XL","Other"
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT VENDETTA2","XAVIER SIMOEN REPLICA THE DRAGON","","","","","23","24","17","","","","","",""
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT VENDETTA2","IANNONE REPLICA GUN METAL (NO DUCATI LOGO)","","","","","23","23","18","","","","","",""
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT NFR","HEXAGON MATT SILVER","","","","6","24","18","15","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENDETTA2","ALEIX ESPARGARO REPLICA GREY/GUNMETAL (K-RACING LOGO)","","","","","24","30","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENDETTA2","ANDREA LOCATELLI REPLICA 2016","","","","","24","30","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT NFR","TRACK MATT GREY","","","","6","24","24","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT NFR","TRACK RED","","","","6","24","24","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT NFR","ANDI GILANG REPLICA","","","","6","24","24","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT NFR","AXEL BASANI REPLICA","","","","6","24","24","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT NFR","ESPARGARO REPLICA 2017","","","","6","24","24","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT NFR","TRACK MATT GREY","","","","6","24","24","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT NFR","TRACK RED","","","","6","24","24","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT NFR","AXEL BASANI REPLICA","","","","6","24","24","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT NFR","ESPARGARO REPLICA 2017 FUXIA","","","","6","24","24","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT NFR","ESPARGARO REPLICA 2017","","","","6","24","24","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT NFR","HYPERFLUO RED","","","","6","24","24","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT NFR","HYPERFLUO YELLOW","","","","6","24","24","6","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT NFR","TRACK MATT GREY","","","","","22","22","16","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT NFR","TRACK RED","","","","","22","22","16","","","","","",""
"INFINITE SERV","175 ","HA-16 REV1","SNI","PHILIPPINES","Tuesday, 14 August 2018","01 October 2018","KYT K2 RIDER","WORLD GP READY GOLD BLACK/GOLD","","","","","30","30","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENDETTA2","ALLSTAR BLACK/RED/GREEN FLUO","","","","","30","30","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENDETTA2","ALEIX ESPARGARO REPLICA RED (K-RACING LOGO)","","","","6","24","24","6","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENOM OPEN","ANDI GILANG REPLICA","","","","","30","30","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENOM OPEN","ANDREA LOCATELLI REPLICA 2016","","","","","30","30","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENDETTA2","ALLSTAR BLACK/RED/GREEN FLUO","","","","","30","30","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENDETTA2","ALEIX ESPARGARO REPLICA RED (K-RACING LOGO)","","","","6","24","24","6","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENOM OPEN","ANDI GILANG REPLICA","","","","","30","30","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENOM OPEN","ANDREA LOCATELLI REPLICA 2016","","","","","30","30","","","","","","",""
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT VENDETTA2","IANNONE REPLICA WHITE (NO DUCATI LOGO)","","","","","19","24","16","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","XAVIER SIMEON REPLICA THE DRAGON","","","","","27","24","6","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT NFR","LIGHTNING WHITE","","","","","15","21","21","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENDETTA2","SIMONE CORSI REPLICA","","","","","24","24","6","","","","","",""
