Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,XXS,XS (48),XS/S,S(50),M(52),L(54),XL(56),XXL,3XL,4XL,S/M,L/XL,Other,Total Helmet,Receive Year,Delivery Year
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,KYT VENOM,no,0,0,0,2,12,12,6,0,0,0,0,0,0,32,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,2,12,12,6,0,0,0,0,0,0,32,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,0,12,12,6,0,0,0,0,0,0,30,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,0,12,12,6,0,0,0,0,0,0,30,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT KYOTO,no,0,0,0,3,9,9,6,3,0,0,0,0,0,30,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT CROSS OVER,no,0,0,0,3,9,9,6,3,0,0,0,0,0,30,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT CROSS OVER,no,0,0,0,3,9,9,6,3,0,0,0,0,0,30,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT CROSS OVER,no,0,0,0,3,9,9,6,3,0,0,0,0,0,30,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT NFR,no,0,0,0,6,6,6,6,6,0,0,0,0,0,30,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT FALCON,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-05-22,2018-05-23,1,SR SPORT,no,0,0,0,4,7,8,5,0,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT NFR,no,0,0,0,6,6,6,3,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT NFR,no,0,0,0,6,6,6,3,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,3,6,6,6,3,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM OPEN FACE,no,0,0,0,6,6,6,6,0,0,0,0,0,0,24,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM OPEN FACE,no,0,0,0,3,6,6,6,0,0,0,0,0,0,21,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM OPEN FACE,no,0,0,0,3,6,6,6,0,0,0,0,0,0,21,2018,2018
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,KYT KR 1,no,0,0,0,9,9,2,0,0,0,0,0,0,0,20,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,0,6,6,6,0,0,0,0,0,0,18,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT FALCON,no,0,0,0,0,6,6,6,0,0,0,0,0,0,18,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT NFR,no,0,0,0,2,6,6,2,2,0,0,0,0,0,18,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,0,6,6,6,0,0,0,0,0,0,18,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,0,6,6,6,0,0,0,0,0,0,18,2018,2018
